Incident Number,Call Date/Time,Location,Incident Type,Dispositions
2015-00074133,12/20/2015 10:30:00 PM,KING ST / ASHBY AVE,T,BM2TWS
2015-00071663,12/08/2015 11:45:00 PM,KING ST / FAIRVIEW ST,1194,"AR, BM3KAS"
2015-00073949,12/19/2015 10:30:00 PM,KING ST / JULIA ST,1196,P
2015-00066582,11/12/2015 04:34:00 AM,KITTREDGE ST / FULTON ST,1194B,P
2015-00066963,11/14/2015 01:35:00 AM,KITTREDGE ST / FULTON ST,T,OM2TWN
2015-00073593,12/18/2015 09:32:00 AM,KITTREDGE ST / HAROLD WAY,1194,M
2015-00066673,11/12/2015 03:52:00 PM,KITTREDGE ST / SHATTUCK AVE,1194,M
2015-00067080,11/14/2015 05:26:00 PM,LINCOLN ST / SHATTUCK AVE,T,WM2IWN
2015-00074496,12/22/2015 10:40:00 PM,LOS ANGELES AVE / SHATTUCK AVE,T,"TOW, WM2TCS, P"
2015-00074665,12/23/2015 10:36:00 PM,M L KING JR WAY / ADDISON ST,1194,AR
2015-00071730,12/09/2015 12:26:00 PM,M L KING JR WAY / ADDISON ST,T,WF4TWN
2015-00070880,12/04/2015 11:50:00 PM,M L KING JR WAY / ADDISON ST,T,HM2TWN
2015-00073496,12/17/2015 06:44:00 PM,M L KING JR WAY / ALCATRAZ AVE,T,WF4TWN
2015-00072298,12/12/2015 02:26:00 AM,M L KING JR WAY / ALCATRAZ AVE,T,"AR, P"
2015-00065355,11/05/2015 08:15:00 PM,M L KING JR WAY / ALLSTON WAY,1194B,"BM4TWS, M"
2015-00074162,12/21/2015 07:06:00 AM,M L KING JR WAY / ALLSTON WAY,T,OM3TCN
2015-00072069,12/11/2015 01:02:00 AM,M L KING JR WAY / ALLSTON WAY,T,WM2TWN
2015-00065542,11/06/2015 08:16:00 PM,M L KING JR WAY / ALLSTON WAY,T,OM4TWN
2015-00074660,12/23/2015 10:10:00 PM,M L KING JR WAY / ASHBY AVE,T,WM4TWN
2015-00073867,12/19/2015 04:23:00 PM,M L KING JR WAY / ASHBY AVE,T,BM2ICN
2015-00073738,12/18/2015 11:17:00 PM,M L KING JR WAY / ASHBY AVE,T,WF2TWN
2015-00072806,12/14/2015 11:30:00 PM,M L KING JR WAY / ASHBY AVE,T,WM3TWN
2015-00068780,11/23/2015 02:08:00 PM,M L KING JR WAY / ASHBY AVE,T,WM4TCN
2015-00065918,11/08/2015 05:42:00 PM,M L KING JR WAY / ASHBY AVE,T,AM4TWN
2015-00072063,12/10/2015 11:23:00 PM,M L KING JR WAY / BANCROFT WAY,T,OM2TCN
2015-00065372,11/05/2015 10:12:00 PM,M L KING JR WAY / BANCROFT WAY,T,WM2TWN
2015-00064844,11/03/2015 11:20:00 AM,M L KING JR WAY / BANCROFT WAY,T,BM2TCN
2015-00065348,11/05/2015 07:17:00 PM,M L KING JR WAY / BERRYMAN ST,T,WM2TCN
2015-00073728,12/18/2015 10:53:00 PM,M L KING JR WAY / BLAKE ST,T,WM2TWN
2015-00070146,12/01/2015 12:39:00 PM,M L KING JR WAY / BLAKE ST,T,BF2TCN
2015-00073078,12/16/2015 04:31:00 AM,M L KING JR WAY / CARLETON ST,T,AM3TCN
2015-00074881,12/25/2015 03:42:00 PM,M L KING JR WAY / CENTER ST,T,M
2015-00070370,12/02/2015 02:14:00 PM,M L KING JR WAY / CENTER ST,T,"AR, WM3TCS, P"
2015-00067513,11/17/2015 07:35:00 AM,M L KING JR WAY / CENTER ST,T,WF4TCN
2015-00066300,11/10/2015 04:43:00 PM,M L KING JR WAY / CENTER ST,T,WM2TCN
2015-00073470,12/17/2015 04:29:00 PM,M L KING JR WAY / CHANNING WAY,T,WM4TCN
2015-00073314,12/16/2015 10:44:00 PM,M L KING JR WAY / CHANNING WAY,T,WF4TWN
2015-00070522,12/03/2015 09:16:00 AM,M L KING JR WAY / CHANNING WAY,T,BF4TCN
2015-00069616,11/28/2015 08:39:00 AM,M L KING JR WAY / CHANNING WAY,T,WF3TCN
2015-00068900,11/24/2015 07:19:00 AM,M L KING JR WAY / CHANNING WAY,T,WF4TCN
2015-00072870,12/15/2015 10:56:00 AM,M L KING JR WAY / DWIGHT WAY,T,WF2TWN
2015-00070517,12/03/2015 08:31:00 AM,M L KING JR WAY / DWIGHT WAY,T,OM4TCN
2015-00068699,11/23/2015 12:42:00 AM,M L KING JR WAY / DWIGHT WAY,T,BM2TWN
2015-00066651,11/12/2015 12:41:00 PM,M L KING JR WAY / DWIGHT WAY,T,WF4TWN
2015-00065817,11/08/2015 01:36:00 AM,M L KING JR WAY / FRANCISCO ST,T,WM2TWN
2015-00075099,12/26/2015 10:27:00 PM,M L KING JR WAY / HASTE ST,T,WM2TWS
2015-00071718,12/09/2015 11:44:00 AM,M L KING JR WAY / HASTE ST,T,WF3TCN
2015-00075992,12/31/2015 07:16:00 PM,M L KING JR WAY / HEARST AVE,1194,MH
2015-00071311,12/07/2015 01:03:00 PM,M L KING JR WAY / HEARST AVE,1194,M
2015-00071415,12/07/2015 10:03:00 PM,M L KING JR WAY / HEARST AVE,1194B,BM3TWS
2015-00066074,11/09/2015 02:12:00 PM,M L KING JR WAY / HEARST AVE,T,AF4TWN
2015-00075067,12/26/2015 06:36:00 PM,M L KING JR WAY / OREGON ST,T,BM2TWS
2015-00073770,12/19/2015 01:45:00 AM,M L KING JR WAY / OREGON ST,T,"TOW, HM2TCS"
2015-00070836,12/04/2015 08:22:00 PM,M L KING JR WAY / OREGON ST,T,WF2TWN
2015-00071063,12/05/2015 10:12:00 PM,M L KING JR WAY / PARKER ST,T,WF4TCN
2015-00071061,12/05/2015 10:02:00 PM,M L KING JR WAY / PARKER ST,T,BM3TWN
2015-00069180,11/25/2015 04:21:00 PM,M L KING JR WAY / PARKER ST,T,WF3TWN
2015-00066716,11/12/2015 06:54:00 PM,M L KING JR WAY / PARKER ST,T,OF4TWN
2015-00075949,12/31/2015 02:43:00 PM,M L KING JR WAY / ROSE ST,T,WM3TWN
2015-00075255,12/27/2015 09:37:00 PM,M L KING JR WAY / ROSE ST,T,OM3TWN
2015-00073352,12/17/2015 05:04:00 AM,M L KING JR WAY / ROSE ST,T,BF3TWN
2015-00070486,12/03/2015 12:54:00 AM,M L KING JR WAY / ROSE ST,T,BM4TCN
2015-00068454,11/21/2015 06:08:00 PM,M L KING JR WAY / ROSE ST,T,HF1TWN
2015-00067108,11/14/2015 08:12:00 PM,M L KING JR WAY / RUSSELL ST,T,WM2TWN
2015-00065138,11/04/2015 06:04:00 PM,M L KING JR WAY / STUART ST,1196,"WF2IWN, WM2IWN"
2015-00075973,12/31/2015 04:33:00 PM,M L KING JR WAY / UNIVERSITY AVE,1194,MH
2015-00075326,12/28/2015 10:32:00 AM,M L KING JR WAY / UNIVERSITY AVE,T,HF3TCN
2015-00073922,12/19/2015 08:53:00 PM,M L KING JR WAY / UNIVERSITY AVE,T,OM2TWN
2015-00073323,12/16/2015 11:32:00 PM,M L KING JR WAY / UNIVERSITY AVE,T,OF3TCN
2015-00075501,12/29/2015 01:34:00 AM,M L KING JR WAY / WOOLSEY ST,T,WM4TCN
2015-00072328,12/12/2015 08:30:00 AM,M L KING JR WAY / WOOLSEY ST,T,BM4TCN
2015-00072008,12/10/2015 05:33:00 PM,M L KING JR WAY / WOOLSEY ST,T,BM4TWN
2015-00066165,11/09/2015 10:59:00 PM,M L KING JR WAY / WOOLSEY ST,T,WF3TWN
2015-00073546,12/18/2015 12:27:00 AM,MABEL ST / CARRISON ST,1196,"FC, BM2TWN"
2015-00067827,11/18/2015 03:08:00 PM,MABEL ST / HASKELL ST,T,BM4TWN
2015-00067704,11/17/2015 10:27:00 PM,MABEL ST / SIXTY-SEVENTH ST,T,BF3TWN
2015-00067927,11/19/2015 01:23:00 AM,MARIN AVE / FRESNO AVE,T,"HM2TAS, P"
2015-00069081,11/25/2015 03:36:00 AM,MARIN AVE / LASSEN ST,1194B,WM4TWS
2015-00071857,12/09/2015 10:58:00 PM,MARIN AVE / THE ALAMEDA,T,"HM2TAS, P"
2015-00071850,12/09/2015 10:19:00 PM,MARIN AVE / THE ALAMEDA,T,OF3TCN
2015-00067727,11/18/2015 12:17:00 AM,MARIN AVE / THE ALAMEDA,T,WF2TWN
2015-00074266,12/21/2015 05:51:00 PM,MARIN AVE/SANT FE,T,WF4TWN
2015-00065604,11/07/2015 01:16:00 AM,MARIN/THE ALAMEDA,T,HM2TWS
2015-00069357,11/26/2015 07:53:00 PM,MARINA BLVD / UNIVERSITY AVE,T,OM2TCN
2015-00073045,12/16/2015 12:24:00 AM,MCGEE AVE / RUSSELL ST,T,BM3TWN
2015-00065472,11/06/2015 03:05:00 PM,MCGEE AVE / STUART ST,1194,"WM3RON, M"
2015-00075344,12/28/2015 11:37:00 AM,MCKINLEY AVE / ALLSTON WAY,T,M
2015-00075090,12/26/2015 09:19:00 PM,MILVIA ST / ADDISON ST,1194,P
2015-00070339,12/02/2015 11:19:00 AM,MILVIA ST / ADDISON ST,T,AM2TCN
2015-00073176,12/16/2015 01:23:00 PM,MILVIA ST / ALLSTON WAY,1194,WM2TWN
2015-00075570,12/29/2015 01:10:00 PM,MILVIA ST / BANCROFT WAY,T,BF4TWN
2015-00071719,12/09/2015 11:47:00 AM,MILVIA ST / BANCROFT WAY,T,OM4TCN
2015-00065971,11/09/2015 12:23:00 AM,MILVIA ST / BERKELEY WAY,1194,"BM3KWS, WM2IWS"
2015-00075014,12/26/2015 12:43:00 PM,MILVIA ST / BERKELEY WAY,T,BF4TCN
2015-00071536,12/08/2015 12:33:00 PM,MILVIA ST / BLAKE ST,1194B,AF1KAN
2015-00071532,12/08/2015 12:19:00 PM,MILVIA ST / BLAKE ST,1194B,WM2TCN
2015-00071513,12/08/2015 11:23:00 AM,MILVIA ST / BLAKE ST,1194B,WF2TCN
2015-00071543,12/08/2015 12:51:00 PM,MILVIA ST / BLAKE ST,T,WF4WCN
2015-00071530,12/08/2015 12:11:00 PM,MILVIA ST / CARLETON ST,1194B,WM2TCN
2015-00074907,12/25/2015 07:05:00 PM,MILVIA ST / CEDAR ST,1194,M
2015-00069524,11/27/2015 07:29:00 PM,MILVIA ST / CEDAR ST,T,HM4TCN
2015-00073172,12/16/2015 01:17:00 PM,MILVIA ST / CENTER ST,1194B,WM2TCN
2015-00066679,11/12/2015 04:20:00 PM,MILVIA ST / CENTER ST,T,BM4TCN
2015-00072986,12/15/2015 06:59:00 PM,MILVIA ST / CHANNING WAY,1194,WM3TCN
2015-00073959,12/19/2015 11:07:00 PM,MILVIA ST / CHANNING WAY,T,WM2TWN
2015-00067712,11/17/2015 11:00:00 PM,MILVIA ST / CHANNING WAY,T,AM4TWS
2015-00066666,11/12/2015 02:40:00 PM,MILVIA ST / CHANNING WAY,T,BM4TCN
2015-00074929,12/25/2015 08:55:00 PM,MILVIA ST / DERBY ST,T,"IN, BM4TCN"
2015-00067632,11/17/2015 04:24:00 PM,MILVIA ST / DURANT AVE,1194B,M
2015-00071743,12/09/2015 12:53:00 PM,MILVIA ST / DURANT AVE,T,M
2015-00066665,11/12/2015 02:28:00 PM,MILVIA ST / DURANT AVE,T,WM4TCN
2015-00071511,12/08/2015 11:12:00 AM,MILVIA ST / DWIGHT WAY,1194B,WM2TCN
2015-00071509,12/08/2015 11:04:00 AM,MILVIA ST / DWIGHT WAY,1194B,WM2TCN
2015-00071506,12/08/2015 10:51:00 AM,MILVIA ST / DWIGHT WAY,1194B,"WF2TCN, M"
2015-00071504,12/08/2015 10:47:00 AM,MILVIA ST / DWIGHT WAY,1194B,HM2TCN
2015-00071541,12/08/2015 12:48:00 PM,MILVIA ST / DWIGHT WAY,T,AF3TCN
2015-00065103,11/04/2015 03:58:00 PM,MILVIA ST / FRANCISCO ST,T,OF2TWN
2015-00071507,12/08/2015 10:56:00 AM,MILVIA ST / HASTE ST,1194B,AM2TCN
2015-00073543,12/18/2015 12:19:00 AM,MILVIA ST / HEARST AVE,1194B,AM2TWN
2015-00066684,11/12/2015 04:29:00 PM,MILVIA ST / KITTREDGE ST,1194,P
2015-00066681,11/12/2015 04:26:00 PM,MILVIA ST / KITTREDGE ST,1194,P
2015-00070338,12/02/2015 11:11:00 AM,MILVIA ST / KITTREDGE ST,T,WM2TCN
2015-00072266,12/11/2015 09:57:00 PM,MILVIA ST / OREGON ST,T,BM3TWN
2015-00071520,12/08/2015 11:50:00 AM,MILVIA ST / PARKER ST,1194B,AM1TCN
2015-00071515,12/08/2015 11:30:00 AM,MILVIA ST / PARKER ST,1194B,WF2TCN
2015-00069255,11/26/2015 12:11:00 AM,MODOC ST / MARIN AVE,T,"IN, WM2TCS"
2015-00066270,11/10/2015 01:37:00 PM,MURRAY ST / NINTH ST,T,P
2015-00072354,12/12/2015 11:19:00 AM,MURRAY ST / SEVENTH ST,T,HM4TCN
2015-00074816,12/25/2015 12:24:00 AM,NEWBURY ST / RUSSELL ST,T,"WF2TWS, HM2TWS, M"
2015-00071318,12/07/2015 01:27:00 PM,NINTH ST / ALLSTON WAY,T,AF2KCN
2015-00065092,11/04/2015 02:28:00 PM,NINTH ST / ANTHONY ST,T,OF4TCN
2015-00070319,12/02/2015 09:52:00 AM,NINTH ST / ASHBY AVE,1194B,WF2TCN
2015-00072891,12/15/2015 12:23:00 PM,NINTH ST / ASHBY AVE,T,WM2TCN
2015-00064947,11/03/2015 07:53:00 PM,NINTH ST / BANCROFT WAY,T,WF2TWN
2015-00070916,12/05/2015 03:31:00 AM,NINTH ST / CARLETON ST,1194B,WM4TWS
2015-00066130,11/09/2015 07:09:00 PM,NINTH ST / CEDAR ST,T,HM3TWN
2015-00068878,11/24/2015 01:51:00 AM,NINTH ST / DELAWARE ST,T,BM4TCS
2015-00074080,12/20/2015 04:39:00 PM,NINTH ST / DWIGHT WAY,T,M
2015-00068293,11/20/2015 10:09:00 PM,NINTH ST / DWIGHT WAY,T,HM4TWN
2015-00065211,11/05/2015 07:44:00 AM,NINTH ST / GILMAN ST,1194B,P
2015-00066835,11/13/2015 01:21:00 PM,NINTH ST / GRAYSON ST,T,BF3TWN
2015-00065564,11/06/2015 09:42:00 PM,NINTH ST / GRAYSON ST,T,WM3TWN
2015-00071590,12/08/2015 05:18:00 PM,NINTH ST / HARRISON ST,1194B,WM2TWN
2015-00068694,11/23/2015 12:12:00 AM,NINTH ST / HEARST AVE,1194B,OM3TWN
2015-00072921,12/15/2015 01:39:00 PM,NINTH ST / HEARST AVE,T,WF4TWN
2015-00067532,11/17/2015 09:24:00 AM,NINTH ST / MURRAY ST,T,WM4TCN
2015-00074438,12/22/2015 05:14:00 PM,NINTH ST / POTTER ST,T,BM2TCN
2015-00074925,12/25/2015 08:31:00 PM,NINTH ST / UNIVERSITY AVE,T,HM3TWN
2015-00070882,12/05/2015 12:00:00 AM,NINTH ST / UNIVERSITY AVE,T,BM2TWS
2015-00066414,11/11/2015 10:02:00 AM,NINTH ST / UNIVERSITY AVE,T,HM4TCN
2015-00064948,11/03/2015 07:55:00 PM,OREGON ST / CALIFORNIA ST,T,BM4TWN
2015-00071623,12/08/2015 08:20:00 PM,OREGON ST / MCGEE AVE,1196,M
2015-00074119,12/20/2015 08:52:00 PM,OREGON ST / PARK ST,T,BM2TWN
2015-00070001,11/30/2015 04:41:00 PM,OREGON ST / SHATTUCK AVE,T,WF2TCN
2015-00072672,12/14/2015 10:25:00 AM,OREGON ST / TELEGRAPH AVE,T,"AF3TCN, M"
2015-00069414,11/27/2015 07:24:00 AM,OTIS ST / RUSSELL ST,1194,M
2015-00067376,11/16/2015 01:21:00 PM,OXFORD ST / BERKELEY WAY,T,WM3TWN
2015-00074949,12/25/2015 11:28:00 PM,OXFORD ST / CENTER ST,T,AM4TWN
2015-00075378,12/28/2015 01:08:00 PM,OXFORD ST / KITTREDGE ST,T,BM4TWN
2015-00069279,11/26/2015 04:29:00 AM,OXFORD ST / UNIVERSITY AVE,T,OM4TWN
2015-00066759,11/13/2015 12:47:00 AM,OXFORD ST / VINE ST,1194,P
2015-00072259,12/11/2015 08:53:00 PM,OXFORD ST / VINE ST,T,"BM3TCN, P"
2015-00073717,12/18/2015 09:51:00 PM,PARKER ST / CHILTON WAY,T,AF2TWN
2015-00067601,11/17/2015 02:24:00 PM,PARKER ST / COLLEGE AVE,T,WF2TCN
2015-00070043,11/30/2015 09:32:00 PM,PARKER ST / HILLEGASS AVE,T,WM4TWN
2015-00065590,11/06/2015 11:47:00 PM,PARKER ST / HILLEGASS AVE,T,AF2TWN
2015-00075625,12/29/2015 07:31:00 PM,PARKER ST / M L KING JR WAY,T,HF2TWN
2015-00066573,11/12/2015 01:41:00 AM,PARKER ST / MATHEWS ST,T,"AR, AM3TAS, P"
2015-00066751,11/12/2015 11:31:00 PM,PARKER ST / SHATTUCK AVE,1194B,P
2015-00066521,11/11/2015 08:59:00 PM,PARKER ST / SHATTUCK AVE,T,BF3TWN
2015-00065897,11/08/2015 03:21:00 PM,PARKER ST / TELEGRAPH AVE,1194,M
2015-00066541,11/11/2015 10:09:00 PM,PIEDMONT AVE / BANCROFT WAY,T,BM3TWN
2015-00066960,11/14/2015 01:11:00 AM,PIEDMONT AVE / CHANNING WAY,1194,WM2TWN
2015-00073376,12/17/2015 08:55:00 AM,PIEDMONT AVE / DERBY ST,T,WM3TCN
2015-00073116,12/16/2015 10:24:00 AM,PIEDMONT AVE / DERBY ST,T,WM4TCN
2015-00073110,12/16/2015 10:09:00 AM,PIEDMONT AVE / DERBY ST,T,WF3TCN
2015-00065778,11/07/2015 10:31:00 PM,PIEDMONT AVE / DURANT AVE,T,WM2TWN
2015-00075903,12/31/2015 10:11:00 AM,POTTER ST / SEVENTH ST,T,AF3TCN
2015-00072974,12/15/2015 06:08:00 PM,PRINCE ST / CALIFORNIA ST,T,BM2TWN
2015-00069256,11/26/2015 12:13:00 AM,PRINCE ST / HARPER ST,1194B,BM4TWN
2015-00065050,11/04/2015 10:27:00 AM,PRINCE ST / KING ST,T,HF3TCN
2015-00067107,11/14/2015 08:04:00 PM,PRINCE ST / SACRAMENTO ST,T,M
2015-00065323,11/05/2015 05:06:00 PM,PRINCE ST / SACRAMENTO ST,T,BM2TCN
2015-00070832,12/04/2015 07:46:00 PM,PRINCE ST / TREMONT ST,T,BF3TWN
2015-00067729,11/18/2015 12:28:00 AM,REGENT ST / DWIGHT WAY,T,OF2TWN
2015-00067707,11/17/2015 10:34:00 PM,ROSE ST / BONITA AVE,T,WM1TCN
2015-00070093,12/01/2015 07:30:00 AM,ROSE ST / CALIFORNIA ST,T,WF3TWN
2015-00068827,11/23/2015 06:58:00 PM,ROSE ST / SHATTUCK AVE,T,WM4TWN
2015-00066082,11/09/2015 02:50:00 PM,ROSE ST / WALNUT ST,T,WM4TWN
2015-00068284,11/20/2015 09:23:00 PM,RUSSELL ST / ADELINE ST,T,BM2TWN
2015-00070443,12/02/2015 08:20:00 PM,RUSSELL ST / COLLEGE AVE,1194,WM4IWN
2015-00065039,11/04/2015 09:37:00 AM,RUSSELL ST / DEAKIN ST,T,M
2015-00065035,11/04/2015 09:20:00 AM,RUSSELL ST / DEAKIN ST,T,M
2015-00071050,12/05/2015 09:03:00 PM,RUSSELL ST / M L KING JR WAY,1194,M
2015-00070828,12/04/2015 07:25:00 PM,RUSSELL ST / MCGEE AVE,T,BM2TWS
2015-00068890,11/24/2015 05:37:00 AM,RUSSELL ST / MCGEE AVE,T,BF2TCN
2015-00072287,12/12/2015 12:20:00 AM,RUSSELL ST / SACRAMENTO ST,T,BM4TWN
2015-00067669,11/17/2015 06:45:00 PM,RUSSELL ST / SACRAMENTO ST,T,BM2TWN
2015-00066564,11/12/2015 12:46:00 AM,RUSSELL ST / SACRAMENTO ST,T,WF3TWN
2015-00072901,12/15/2015 12:49:00 PM,SACRAMENTO ST / ADDISON ST,T,WF2KAS
2015-00070440,12/02/2015 08:01:00 PM,SACRAMENTO ST / ADDISON ST,T,WM3TWN
2015-00069618,11/28/2015 08:50:00 AM,SACRAMENTO ST / ADDISON ST,T,WF4TCN
2015-00069230,11/25/2015 10:00:00 PM,SACRAMENTO ST / ALCATRAZ AVE,1194B,BM4TWN
2015-00069862,11/29/2015 08:02:00 PM,SACRAMENTO ST / ALCATRAZ AVE,T,WM2TWN
2015-00068463,11/21/2015 06:59:00 PM,SACRAMENTO ST / ALCATRAZ AVE,T,BF4TWN
2015-00070796,12/04/2015 05:27:00 PM,SACRAMENTO ST / ALLSTON WAY,T,BM4TWN
2015-00065902,11/08/2015 04:01:00 PM,SACRAMENTO ST / ALLSTON WAY,T,WF4KON
2015-00072864,12/15/2015 10:18:00 AM,SACRAMENTO ST / ASHBY AVE,1194,M
2015-00064823,11/03/2015 08:59:00 AM,SACRAMENTO ST / ASHBY AVE,1194,M
2015-00073748,12/18/2015 11:51:00 PM,SACRAMENTO ST / ASHBY AVE,1194B,BM2TWS
2015-00069270,11/26/2015 02:29:00 AM,SACRAMENTO ST / ASHBY AVE,1194B,BM3TWN
2015-00074132,12/20/2015 10:29:00 PM,SACRAMENTO ST / ASHBY AVE,T,BF4TWN
2015-00073887,12/19/2015 06:06:00 PM,SACRAMENTO ST / ASHBY AVE,T,WF4TWN
2015-00066525,11/11/2015 09:13:00 PM,SACRAMENTO ST / ASHBY AVE,T,WM2TWN
2015-00065992,11/09/2015 02:31:00 AM,SACRAMENTO ST / ASHBY AVE,T,BM2TWN
2015-00065978,11/09/2015 01:47:00 AM,SACRAMENTO ST / ASHBY AVE,T,BM2TWN
2015-00073577,12/18/2015 06:56:00 AM,SACRAMENTO ST / BANCROFT WAY,T,M
2015-00065358,11/05/2015 08:45:00 PM,SACRAMENTO ST / BANCROFT WAY,T,BF3TWN
2015-00068482,11/21/2015 08:06:00 PM,SACRAMENTO ST / BLAKE ST,T,WF4TWN
2015-00065314,11/05/2015 04:20:00 PM,SACRAMENTO ST / BLAKE ST,T,BM3TCN
2015-00073969,12/20/2015 12:07:00 AM,SACRAMENTO ST / CARLETON ST,T,WM2TWN
2015-00069794,11/29/2015 12:51:00 PM,SACRAMENTO ST / DERBY ST,T,BF4TWN
2015-00073578,12/18/2015 06:57:00 AM,SACRAMENTO ST / DWIGHT WAY,T,BM3TCN
2015-00069707,11/28/2015 07:08:00 PM,SACRAMENTO ST / DWIGHT WAY,T,WM3TWN
2015-00069541,11/27/2015 08:50:00 PM,SACRAMENTO ST / DWIGHT WAY,T,BM4TWN
2015-00069383,11/27/2015 12:04:00 AM,SACRAMENTO ST / DWIGHT WAY,T,M
2015-00067956,11/19/2015 08:04:00 AM,SACRAMENTO ST / DWIGHT WAY,T,WM2TCN
2015-00074676,12/24/2015 12:12:00 AM,SACRAMENTO ST / FRANCISCO ST,T,WM3TCN
2015-00074140,12/20/2015 11:22:00 PM,SACRAMENTO ST / HARMON ST,1194B,P
2015-00072329,12/12/2015 08:45:00 AM,SACRAMENTO ST / JULIA ST,T,WM3TCN
2015-00066539,11/11/2015 09:59:00 PM,SACRAMENTO ST / OREGON ST,1196,"FC, HM3TWN"
2015-00073425,12/17/2015 12:52:00 PM,SACRAMENTO ST / OREGON ST,T,BF4TCN
2015-00070786,12/04/2015 04:35:00 PM,SACRAMENTO ST / OREGON ST,T,BM4TWN
2015-00065056,11/04/2015 10:49:00 AM,SACRAMENTO ST / OREGON ST,T,BF4TCN
2015-00068268,11/20/2015 08:15:00 PM,SACRAMENTO ST / PARKER ST,T,WF4TWN
2015-00075205,12/27/2015 05:47:00 PM,SACRAMENTO ST / PRINCE ST,T,P
2015-00073747,12/18/2015 11:50:00 PM,SACRAMENTO ST / PRINCE ST,T,AF4TWN
2015-00073328,12/16/2015 11:57:00 PM,SACRAMENTO ST / PRINCE ST,T,BM2TCS
2015-00067875,11/18/2015 07:12:00 PM,SACRAMENTO ST / PRINCE ST,T,BM3TWN
2015-00073279,12/16/2015 07:57:00 PM,SACRAMENTO ST / RUSSELL ST,T,AM4TWN
2015-00072445,12/12/2015 08:49:00 PM,SACRAMENTO ST / RUSSELL ST,T,BM2TWS
2015-00065932,11/08/2015 07:01:00 PM,SACRAMENTO ST / RUSSELL ST,T,BM4TWN
2015-00073993,12/20/2015 02:04:00 AM,SACRAMENTO ST / SIXTY-SEVENTH ST,T,M
2015-00069928,11/30/2015 09:00:00 AM,SACRAMENTO ST / SIXTY-SEVENTH ST,T,BM3TCN
2015-00067326,11/16/2015 08:36:00 AM,SACRAMENTO ST / SIXTY-SIXTH ST,T,HM3TCN
2015-00075107,12/26/2015 11:32:00 PM,SACRAMENTO ST / STUART ST,T,BM2TCS
2015-00073988,12/20/2015 01:37:00 AM,SACRAMENTO ST / STUART ST,T,BM4TWN
2015-00069247,11/25/2015 11:25:00 PM,SACRAMENTO ST / TYLER ST,T,WM2TWN
2015-00068338,11/21/2015 02:36:00 AM,SACRAMENTO ST / TYLER ST,T,OM2TCN
2015-00065788,11/07/2015 11:20:00 PM,SACRAMENTO ST / UNIVERSITY AVE,1194,IN
2015-00072722,12/14/2015 02:20:00 PM,SACRAMENTO ST / UNIVERSITY AVE,T,OM4TCN
2015-00066436,11/11/2015 12:11:00 PM,SACRAMENTO ST / UNIVERSITY AVE,T,HM2TCN
2015-00065185,11/04/2015 11:19:00 PM,SACRAMENTO ST / UNIVERSITY AVE,T,WM2TCS
2015-00066526,11/11/2015 09:18:00 PM,SACRAMENTO ST / WARD ST,T,AF2TWN
2015-00065530,11/06/2015 07:28:00 PM,SACRAMENTO ST / WARD ST,T,BM2TWS
2015-00073741,12/18/2015 11:21:00 PM,SACRAMENTO ST / WOOLSEY ST,T,BM4TCN
2015-00072297,12/12/2015 02:21:00 AM,SACRAMENTO ST / WOOLSEY ST,T,BM4TWN
2015-00074940,12/25/2015 10:16:00 PM,SAN PABLO AVE / ADDISON ST,1194B,BM2TWN
2015-00065565,11/06/2015 09:47:00 PM,SAN PABLO AVE / ADDISON ST,1194B,IN
2015-00075983,12/31/2015 05:28:00 PM,SAN PABLO AVE / ADDISON ST,T,OM2TCN
2015-00075557,12/29/2015 12:03:00 PM,SAN PABLO AVE / ADDISON ST,T,WM4TCN
2015-00073135,12/16/2015 11:42:00 AM,SAN PABLO AVE / ADDISON ST,T,OM3TCN
2015-00067597,11/17/2015 02:14:00 PM,SAN PABLO AVE / ADDISON ST,T,AM2TCN
2015-00066365,11/10/2015 11:05:00 PM,SAN PABLO AVE / ADDISON ST,T,OM2TWN
2015-00075841,12/30/2015 10:43:00 PM,SAN PABLO AVE / ALLSTON WAY,T,BF2TWN
2015-00073990,12/20/2015 01:54:00 AM,SAN PABLO AVE / ALLSTON WAY,T,BM3TWN
2015-00073238,12/16/2015 04:57:00 PM,SAN PABLO AVE / ASHBY AVE,1194,BM4TCN
2015-00071967,12/10/2015 02:08:00 PM,SAN PABLO AVE / ASHBY AVE,1194,HM2TCN
2015-00074134,12/20/2015 10:42:00 PM,SAN PABLO AVE / ASHBY AVE,T,AM2TWN
2015-00073919,12/19/2015 08:25:00 PM,SAN PABLO AVE / ASHBY AVE,T,BM3TWN
2015-00073901,12/19/2015 07:07:00 PM,SAN PABLO AVE / ASHBY AVE,T,WF2TWN
2015-00073764,12/19/2015 01:20:00 AM,SAN PABLO AVE / ASHBY AVE,T,WM2TWS
2015-00073682,12/18/2015 07:06:00 PM,SAN PABLO AVE / ASHBY AVE,T,BM4TCN
2015-00068894,11/24/2015 06:39:00 AM,SAN PABLO AVE / ASHBY AVE,T,AF3TCN
2015-00066371,11/10/2015 11:22:00 PM,SAN PABLO AVE / ASHBY AVE,T,BM2TWS
2015-00065719,11/07/2015 05:26:00 PM,SAN PABLO AVE / ASHBY AVE,T,BM4TWN
2015-00065587,11/06/2015 11:35:00 PM,SAN PABLO AVE / ASHBY AVE,T,AM3TWN
